comuna,candidato,votos,porcentaje
"SAN PEDRO DE LA PAZ","3. SEBASTIAN SICHEL RAMIREZ",5532,54.99
"SAN PEDRO DE LA PAZ","4. MARIO DESBORDES JIMENEZ",890,8.85
"SAN PEDRO DE LA PAZ","5. GABRIEL BORIC FONT",8172,73.4
"SAN PEDRO DE LA PAZ","6. DANIEL JADUE JADUE",2962,26.6
"SAN PEDRO DE ATACAMA","1. JOAQUIN LAVIN INFANTE",130,48.51
"SAN PEDRO DE ATACAMA","2. IGNACIO BRIONES ROJAS",25,9.33
"SAN PEDRO DE ATACAMA","3. SEBASTIAN SICHEL RAMIREZ",92,34.33
"SAN PEDRO DE ATACAMA","4. MARIO DESBORDES JIMENEZ",21,7.84
"SAN PEDRO DE ATACAMA","5. GABRIEL BORIC FONT",241,38.01
"SAN PEDRO DE ATACAMA","6. DANIEL JADUE JADUE",393,61.99
"SAN PEDRO","1. JOAQUIN LAVIN INFANTE",273,44.83
"SAN PEDRO","2. IGNACIO BRIONES ROJAS",51,8.37
"SAN PEDRO","3. SEBASTIAN SICHEL RAMIREZ",230,37.77
"SAN PEDRO","4. MARIO DESBORDES JIMENEZ",55,9.03
"SAN PEDRO","5. GABRIEL BORIC FONT",318,63.47
"SAN PEDRO","6. DANIEL JADUE JADUE",183,36.53
"SAN PABLO","1. JOAQUIN LAVIN INFANTE",239,32.65
"SAN PABLO","2. IGNACIO BRIONES ROJAS",35,4.78
"SAN PABLO","3. SEBASTIAN SICHEL RAMIREZ",385,52.6
"SAN PABLO","4. MARIO DESBORDES JIMENEZ",73,9.97
"SAN PABLO","5. GABRIEL BORIC FONT",250,56.82
"SAN PABLO","6. DANIEL JADUE JADUE",190,43.18
"SAN NICOLAS","1. JOAQUIN LAVIN INFANTE",359,37.87
"SAN NICOLAS","2. IGNACIO BRIONES ROJAS",65,6.86
"SAN NICOLAS","3. SEBASTIAN SICHEL RAMIREZ",431,45.46
"SAN NICOLAS","4. MARIO DESBORDES JIMENEZ",93,9.81
"SAN NICOLAS","5. GABRIEL BORIC FONT",424,65.03
"SAN NICOLAS","6. DANIEL JADUE JADUE",228,34.97
"SAN MIGUEL","1. JOAQUIN LAVIN INFANTE",2974,31.34
"SAN MIGUEL","2. IGNACIO BRIONES ROJAS",892,9.4
"SAN MIGUEL","3. SEBASTIAN SICHEL RAMIREZ",4703,49.56
"SAN MIGUEL","4. MARIO DESBORDES JIMENEZ",920,9.7
"SAN MIGUEL","5. GABRIEL BORIC FONT",12441,61.1
"SAN MIGUEL","6. DANIEL JADUE JADUE",7920,38.9
"SAN JUAN DE LA COSTA","1. JOAQUIN LAVIN INFANTE",136,39.31
"SAN JUAN DE LA COSTA","2. IGNACIO BRIONES ROJAS",28,8.09
"SAN JUAN DE LA COSTA","3. SEBASTIAN SICHEL RAMIREZ",122,35.26
"SAN JUAN DE LA COSTA","4. MARIO DESBORDES JIMENEZ",60,17.34
"SAN JUAN DE LA COSTA","5. GABRIEL BORIC FONT",195,52.56
"SAN JUAN DE LA COSTA","6. DANIEL JADUE JADUE",176,47.44
"SAN JOSE DE MAIPO","1. JOAQUIN LAVIN INFANTE",418,31.76
"SAN JOSE DE MAIPO","2. IGNACIO BRIONES ROJAS",122,9.27
"SAN JOSE DE MAIPO","3. SEBASTIAN SICHEL RAMIREZ",625,47.49
"SAN JOSE DE MAIPO","4. MARIO DESBORDES JIMENEZ",151,11.47
"SAN JOSE DE MAIPO","5. GABRIEL BORIC FONT",1295,53.14
"SAN JOSE DE MAIPO","6. DANIEL JADUE JADUE",1142,46.86
"SAN JOAQUIN","1. JOAQUIN LAVIN INFANTE",1855,31.09
"SAN JOAQUIN","2. IGNACIO BRIONES ROJAS",426,7.14
"SAN JOAQUIN","3. SEBASTIAN SICHEL RAMIREZ",3025,50.7
"SAN JOAQUIN","4. MARIO DESBORDES JIMENEZ",660,11.06
"SAN JOAQUIN","5. GABRIEL BORIC FONT",7005,48.1
"SAN JOAQUIN","6. DANIEL JADUE JADUE",7559,51.9
"SAN JAVIER","1. JOAQUIN LAVIN INFANTE",975,29.73
"SAN JAVIER","2. IGNACIO BRIONES ROJAS",215,6.56
"SAN JAVIER","3. SEBASTIAN SICHEL RAMIREZ",1624,49.53
"SAN JAVIER","4. MARIO DESBORDES JIMENEZ",465,14.18
"SAN JAVIER","5. GABRIEL BORIC FONT",1702,68.33
"SAN JAVIER","6. DANIEL JADUE JADUE",789,31.67
"SAN IGNACIO","1. JOAQUIN LAVIN INFANTE",489,45.03
"SAN IGNACIO","2. IGNACIO BRIONES ROJAS",51,4.7
"SAN IGNACIO","3. SEBASTIAN SICHEL RAMIREZ",426,39.23
"SAN IGNACIO","4. MARIO DESBORDES JIMENEZ",120,11.05
"SAN IGNACIO","5. GABRIEL BORIC FONT",401,66.5
"SAN IGNACIO","6. DANIEL JADUE JADUE",202,33.5
"SAN GREGORIO","1. JOAQUIN LAVIN INFANTE",4,12.5
"SAN GREGORIO","2. IGNACIO BRIONES ROJAS",3,9.38
"SAN GREGORIO","3. SEBASTIAN SICHEL RAMIREZ",19,59.38
"SAN GREGORIO","4. MARIO DESBORDES JIMENEZ",6,18.75
"SAN GREGORIO","5. GABRIEL BORIC FONT",23,69.7
"SAN GREGORIO","6. DANIEL JADUE JADUE",10,30.3
"SAN FERNANDO","1. JOAQUIN LAVIN INFANTE",1820,31.21
"SAN FERNANDO","2. IGNACIO BRIONES ROJAS",432,7.41
"SAN FERNANDO","3. SEBASTIAN SICHEL RAMIREZ",3103,53.22
"SAN FERNANDO","4. MARIO DESBORDES JIMENEZ",476,8.16
"SAN FERNANDO","5. GABRIEL BORIC FONT",3871,62.15
"SAN FERNANDO","6. DANIEL JADUE JADUE",2357,37.85
"SAN FELIPE","1. JOAQUIN LAVIN INFANTE",1374,27.38
